Date,Total cases,Cases in daegu,Cases in seoul
2020-05-27,37,2,20
2020-05-28,68,2,21
2020-05-29,55,0,16
2020-05-30,27,1,7
2020-05-31,15,0,5
2020-06-01,30,1,0
2020-06-02,36,0,12
2020-06-03,46,1,17
2020-06-04,33,0,12
2020-06-05,34,1,15
2020-06-06,43,0,23
2020-06-07,52,1,25
2020-06-08,32,0,18
2020-06-09,35,0,17
2020-06-10,43,0,13
2020-06-11,40,0,20
2020-06-12,43,1,24
2020-06-13,43,0,29
2020-06-14,31,1,12
2020-06-15,23,0,5
2020-06-16,21,0,11
2020-06-17,31,0,13
2020-06-18,51,0,24
2020-06-19,32,0,16
2020-06-20,36,2,13
2020-06-21,40,1,15
2020-06-22,11,1,5
2020-06-23,15,0,6
2020-06-24,30,0,10
2020-06-25,22,0,5
2020-06-26,26,0,16
2020-06-27,30,1,14
2020-06-28,40,0,13
2020-06-29,30,2,5
2020-06-30,22,0,6
2020-07-01,36,1,8
2020-07-02,44,1,13
2020-07-03,49,8,11
2020-07-04,36,1,6
2020-07-05,43,0,14
2020-07-06,24,0,2
2020-07-07,20,0,2
2020-07-08,30,0,5
2020-07-09,28,0,4
2020-07-10,23,0,7
2020-07-11,19,0,4
2020-07-12,21,0,7
2020-07-13,19,0,10
2020-07-14,14,0,7
2020-07-15,11,0,6
2020-07-16,14,0,6
2020-07-17,21,0,6
2020-07-18,11,0,6
2020-07-19,21,0,10
2020-07-20,3,0,1
2020-07-21,20,0,18
2020-07-22,29,0,16
2020-07-23,39,0,10
2020-07-24,28,0,17
2020-07-25,27,0,11
2020-07-26,12,0,5
2020-07-27,9,0,6
2020-07-28,5,0,2
2020-07-29,14,0,7
2020-07-30,7,0,3
2020-07-31,14,0,8
2020-08-01,7,0,1
2020-08-02,8,0,5
2020-08-03,3,0,2
2020-08-04,13,0,6
2020-08-05,13,0,5
2020-08-06,22,0,3
2020-08-07,9,0,5
2020-08-08,30,0,16
2020-08-09,30,0,8
2020-08-10,17,0,10
2020-08-11,23,0,5
2020-08-12,34,0,11
2020-08-13,47,0,23
2020-08-14,85,0,30
2020-08-15,154,0,68
2020-08-16,267,0,134
2020-08-17,187,1,83
2020-08-18,230,6,113
2020-08-19,281,2,140
2020-08-20,275,3,130
2020-08-21,314,4,114
2020-08-22,314,9,123
2020-08-23,386,6,129
2020-08-24,258,0,91
2020-08-25,264,5,125
2020-08-26,302,2,108
2020-08-27,433,12,148
2020-08-28,359,8,137
2020-08-29,308,5,121
2020-08-30,281,30,110
2020-08-31,237,4,89
2020-09-01,221,1,86
2020-09-02,253,13,94
2020-09-03,188,2,68
2020-09-04,188,7,64
2020-09-05,158,5,49
2020-09-06,151,4,55
2020-09-07,107,1,43
2020-09-08,120,0,62
2020-09-09,144,2,44
2020-09-10,139,1,44
2020-09-11,161,1,56
2020-09-12,118,3,51
2020-09-13,98,14,25
2020-09-14,97,1,39
2020-09-15,90,0,31
2020-09-16,103,4,42
2020-09-17,144,2,61
2020-09-18,109,2,44
2020-09-19,105,2,34
2020-09-20,72,2,26
2020-09-21,55,0,20
2020-09-22,49,0,17
2020-09-23,98,3,38
2020-09-24,108,1,33
2020-09-25,95,0,53
2020-09-26,48,1,22
2020-09-27,73,0,29
2020-09-28,40,0,19
2020-09-29,23,0,11
2020-09-30,94,1,51
2020-10-01,65,1,32
2020-10-02,53,0,9
2020-10-03,52,0,26
2020-10-04,47,0,16
2020-10-05,64,0,19
2020-10-06,66,0,11
2020-10-07,93,1,27
2020-10-08,60,0,20
2020-10-09,38,0,16
2020-10-10,61,0,21
2020-10-11,46,0,17
2020-10-12,68,0,28
2020-10-13,69,0,14
2020-10-14,53,0,21
2020-10-15,95,0,22
2020-10-16,41,0,17
2020-10-17,62,0,19
2020-10-18,71,0,20
2020-10-19,50,0,10
2020-10-20,41,0,11
2020-10-21,57,0,12
2020-10-22,104,2,18
2020-10-23,137,5,18
2020-10-24,65,0,21
2020-10-25,50,0,15
2020-10-26,94,0,19
2020-10-27,72,0,27
2020-10-28,96,2,22
2020-10-29,105,3,35
2020-10-30,93,10,44
2020-10-31,96,9,45
2020-11-01,101,2,43
2020-11-02,79,3,20
2020-11-03,46,0,21
2020-11-04,96,1,40
2020-11-05,107,2,39
2020-11-06,117,0,38
2020-11-07,72,1,33
2020-11-08,114,7,49
2020-11-09,99,6,38
2020-11-10,71,1,33
2020-11-11,110,0,37
2020-11-12,126,2,49
2020-11-13,158,1,72
2020-11-14,165,0,60
2020-11-15,176,0,80
2020-11-16,192,0,75
2020-11-17,202,2,82
2020-11-18,241,2,85
2020-11-19,291,2,102
2020-11-20,318,1,124
2020-11-21,360,0,149
2020-11-22,300,2,117
2020-11-23,253,1,105
2020-11-24,318,2,135
2020-11-25,362,5,139
2020-11-26,552,1,195
2020-11-27,525,0,190
2020-11-28,485,1,172
2020-11-29,412,1,146
2020-11-30,414,4,147
2020-12-01,419,11,146
2020-12-02,490,4,184
2020-12-03,512,3,245
2020-12-04,599,6,270
2020-12-05,558,7,222
2020-12-06,599,3,246
2020-12-07,579,5,218
2020-12-08,560,3,196
2020-12-09,641,2,244
2020-12-10,640,2,232
2020-12-11,672,6,239
2020-12-12,923,32,351
2020-12-13,997,25,393
2020-12-14,681,16,221
2020-12-15,845,17,246
2020-12-16,1051,27,355
2020-12-17,992,19,387
2020-12-18,1033,19,381
2020-12-19,1018,21,364
2020-12-20,1065,24,462
2020-12-21,891,19,322
2020-12-22,821,41,307
2020-12-23,1054,21,369
2020-12-24,954,23,299
2020-12-25,1212,21,546
2020-12-26,1102,14,441
2020-12-27,943,20,348
2020-12-28,784,24,290
2020-12-29,966,30,447
2020-12-30,1023,49,367
2020-12-31,939,32,344
2021-01-01,896,43,254
2021-01-02,781,30,239
2021-01-03,640,22,190
2021-01-04,864,33,201
2021-01-05,666,31,182
2021-01-06,805,21,250
2021-01-07,828,10,255
2021-01-08,630,18,180
2021-01-09,593,11,165
2021-01-10,619,26,170
2021-01-11,419,11,127
2021-01-12,508,16,161
2021-01-13,534,13,146
2021-01-14,494,11,124
2021-01-15,480,11,116
2021-01-16,540,24,139
2021-01-17,500,15,135
2021-01-18,365,12,126
2021-01-19,350,15,89
2021-01-20,370,10,124
2021-01-21,379,7,115
2021-01-22,310,5,107
2021-01-23,398,21,115
2021-01-24,368,12,122
2021-01-25,403,14,88
2021-01-26,333,12,103
2021-01-27,513,5,114
2021-01-28,478,10,98
2021-01-29,444,12,109
2021-01-30,419,7,138
2021-01-31,322,9,95
2021-02-01,285,9,101
2021-02-02,294,10,114
2021-02-03,433,9,180
2021-02-04,428,8,159
2021-02-05,350,14,113
2021-02-06,359,16,132
2021-02-07,324,10,137
2021-02-08,264,20,108
2021-02-09,271,9,83
2021-02-10,414,14,152
2021-02-11,467,10,172
2021-02-12,384,11,153
2021-02-13,344,15,129
2021-02-14,302,3,135
2021-02-15,322,11,136
2021-02-16,429,12,150
2021-02-17,587,12,236
2021-02-18,590,12,180
2021-02-19,532,10,168
2021-02-20,415,8,110
2021-02-21,389,6,113
2021-02-22,313,4,102
2021-02-23,329,7,113
2021-02-24,415,16,129
2021-02-25,368,12,109
2021-02-26,363,10,126
2021-02-27,405,6,126
2021-02-28,332,5,108
2021-03-01,338,10,90
2021-03-02,319,12,121
2021-03-03,426,5,113
2021-03-04,399,19,115
2021-03-05,381,3,125
2021-03-06,404,3,120
2021-03-07,398,8,124
2021-03-08,335,6,92
2021-03-09,426,3,95
2021-03-10,448,1,130
2021-03-11,444,5,134
2021-03-12,466,3,137
2021-03-13,474,10,140
2021-03-14,434,6,107
2021-03-15,367,4,107
2021-03-16,345,4,74
2021-03-17,450,14,124
2021-03-18,426,13,120
2021-03-19,440,4,143
2021-03-20,431,14,113
2021-03-21,436,12,122
2021-03-22,396,14,105
2021-03-23,330,9,98
2021-03-24,409,18,127
2021-03-25,417,19,113
2021-03-26,465,14,121
2021-03-27,490,20,121
2021-03-28,461,9,134
2021-03-29,367,9,103
2021-03-30,428,13,134
2021-03-31,486,15,153
2021-04-01,533,6,184
2021-04-02,531,18,159
2021-04-03,519,10,137
2021-04-04,514,17,137
2021-04-05,449,21,150
2021-04-06,459,16,144
2021-04-07,649,17,193
2021-04-08,673,13,227
2021-04-09,643,17,196
2021-04-10,661,4,196
2021-04-11,593,7,201
2021-04-12,560,14,160
2021-04-13,528,9,153
2021-04-14,712,11,239
2021-04-15,669,15,209
2021-04-16,649,4,210
2021-04-17,629,14,208
2021-04-18,646,11,191
2021-04-19,512,23,135
2021-04-20,529,12,145
2021-04-21,691,25,208
2021-04-22,715,22,222
2021-04-23,754,12,195
2021-04-24,757,4,238
2021-04-25,601,14,174
2021-04-26,467,7,148
2021-04-27,476,9,118
2021-04-28,745,25,249
2021-04-29,647,18,217
2021-04-30,642,13,216
2021-05-01,590,10,181
2021-05-02,585,10,171
2021-05-03,462,10,119
2021-05-04,514,9,179
2021-05-05,648,5,224
2021-05-06,562,7,207
2021-05-07,508,8,167
2021-05-08,670,12,234
2021-05-09,519,6,188
2021-05-10,436,3,138
2021-05-11,481,9,158
2021-05-12,610,4,217
2021-05-13,692,6,226
2021-05-14,729,8,224
2021-05-15,661,4,246
2021-05-16,571,7,208
2021-05-17,597,20,192
2021-05-18,505,22,159
2021-05-19,636,23,242
2021-05-20,619,9,240
2021-05-21,542,16,170
2021-05-22,633,54,202
2021-05-23,569,58,182
2021-05-24,505,47,133
2021-05-25,479,27,139
2021-05-26,680,30,256
2021-05-27,617,26,211
2021-05-28,569,23,204
2021-05-29,504,22,181
2021-05-30,462,20,159
2021-05-31,410,30,127
2021-06-01,448,39,142
2021-06-02,649,39,240
2021-06-03,671,73,207
2021-06-04,672,63,204
2021-06-05,719,41,248
2021-06-06,541,45,182
2021-06-07,454,26,146
2021-06-08,434,32,137
2021-06-09,580,47,170
2021-06-10,589,30,201
2021-06-11,538,20,196
2021-06-12,525,21,200
2021-06-13,418,15,165
2021-06-14,360,19,123
2021-06-15,345,16,126
2021-06-16,522,15,195
2021-06-17,520,6,200
2021-06-18,485,12,187
2021-06-19,456,14,186
2021-06-20,379,15,151
2021-06-21,317,15,123
2021-06-22,349,3,117
2021-06-23,602,7,226
2021-06-24,575,4,239
2021-06-25,601,5,261
2021-06-26,610,12,257
2021-06-27,562,7,225
2021-06-28,470,6,177
2021-06-29,559,6,196
2021-06-30,757,11,353
2021-07-01,709,7,322
2021-07-02,761,10,332
2021-07-03,741,9,347
2021-07-04,660,2,277
2021-07-05,642,4,295
2021-07-06,687,7,302
2021-07-07,1164,13,564
2021-07-08,1222,15,518
2021-07-09,1235,16,493
2021-07-10,1319,11,493
2021-07-11,1276,22,493
2021-07-12,1054,35,402
2021-07-13,1091,34,412
2021-07-14,1558,54,615
2021-07-15,1549,51,507
2021-07-16,1471,30,548
2021-07-17,1397,32,538
2021-07-18,1399,41,506
2021-07-19,1206,33,415
2021-07-20,1241,31,396
2021-07-21,1722,33,583
2021-07-22,1529,43,483
2021-07-23,1571,56,500
2021-07-24,1569,52,453
2021-07-25,1420,72,475
2021-07-26,1263,60,331
2021-07-27,1268,64,343
2021-07-28,1818,52,537
2021-07-29,1629,55,498
2021-07-30,1661,59,477
2021-07-31,1464,43,453
2021-08-01,1382,23,456
2021-08-02,1147,25,357
2021-08-03,1147,37,297
2021-08-04,1662,83,466
2021-08-05,1714,122,443
2021-08-06,1635,84,450
2021-08-07,1758,66,485
2021-08-08,1667,57,440
2021-08-09,1454,80,401
2021-08-10,1469,76,338
2021-08-11,2140,67,639
2021-08-12,1944,37,515
2021-08-13,1912,53,493
2021-08-14,1853,77,502
2021-08-15,1741,56,472
2021-08-16,1484,45,349
2021-08-17,1317,43,349
2021-08-18,1765,61,492
2021-08-19,2109,49,536
2021-08-20,1992,39,525
2021-08-21,1805,31,508
2021-08-22,1586,49,478
2021-08-23,1365,50,381
2021-08-24,1468,67,419
2021-08-25,2106,95,647
2021-08-26,1828,91,540
2021-08-27,1805,87,547
2021-08-28,1736,73,544
2021-08-29,1570,56,491
2021-08-30,1422,82,409
2021-08-31,1331,51,435
2021-09-01,1983,53,644
2021-09-02,1922,64,549
2021-09-03,1667,51,538
2021-09-04,1769,40,551
2021-09-05,1457,21,486
2021-09-06,1351,40,452
2021-09-07,1561,39,468
2021-09-08,2006,59,630
2021-09-09,2016,49,634
2021-09-10,1852,44,648
2021-09-11,1812,42,636
2021-09-12,1723,61,641
2021-09-13,1407,32,528
2021-09-14,1458,26,515
2021-09-15,2052,26,778
2021-09-16,1915,50,686
2021-09-17,1968,39,711
2021-09-18,2043,71,668
2021-09-19,1869,49,707
2021-09-20,1573,35,563
2021-09-21,1695,45,673
2021-09-22,1701,41,646
2021-09-23,1696,45,626
2021-09-24,2410,126,868
2021-09-25,3232,116,1197
2021-09-26,2730,140,906
2021-09-27,2353,119,752
2021-09-28,2266,127,788
2021-09-29,2849,110,1022
2021-09-30,2527,74,916
2021-10-01,2445,88,884
2021-10-02,2214,80,767
2021-10-03,2053,59,692
2021-10-04,1650,66,545
2021-10-05,1553,48,510
2021-10-06,1995,65,667
2021-10-07,2395,48,802
2021-10-08,2137,47,756
2021-10-09,1922,49,685
2021-10-10,1558,47,560
2021-10-11,1282,45,491
2021-10-12,1332,48,467
2021-10-13,1564,64,562
2021-10-14,1923,44,711
2021-10-15,1665,38,671
2021-10-16,1592,48,564
2021-10-17,1400,39,478
2021-10-18,1030,41,343
2021-10-19,1047,34,294
2021-10-20,1555,35,487
2021-10-21,1427,26,486
2021-10-22,1415,22,496
2021-10-23,1484,21,527
2021-10-24,1388,30,495
2021-10-25,1165,33,419
2021-10-26,1241,61,401
2021-10-27,1930,42,704
2021-10-28,2092,110,760
2021-10-29,2093,115,733
2021-10-30,2087,93,688
2021-10-31,2051,57,727
